"Var1","Noah's Ark","Cobden View","The Stag's Head","Fagan's","Porter Brook","Walkley Cottage","Crucible Corner","Lescar Hotel","The Grapes","The York","The Hanover","Union Hotel","The Cremorne","The Sheaf View","The Brothers Arms","Rutland Arms","The Washington","The Shakespeare","The Fat Cat","Kelham Island Tavern","Closed Shop","The White Lion","The Devonshire Cat","The Red Deer","The Bath Hotel","Brown Bear","The Beer Engine","The University Arms","Sheffield Tap"
"Noah's Ark","0","490","2409","2301","1949","1514","3051","2270","2397","781","2083","3044","3195","4037","4184","3200","2364","2902","2917","2900","845","4100","2443","2159","2023","3017","2766","1691","3633"
"Cobden View","490","0","2606","2009","2208","1346","2759","2530","2105","1079","1772","3303","2865","3858","4005","2908","2072","2610","2625","2608","553","3921","2151","1867","1731","2725","2436","1399","3341"
"The Stag's Head","2409","2606","0","2501","835","3893","2535","721","2393","1714","1473","784","1127","1822","1969","2092","1906","3083","3444","3330","2696","1885","1903","2294","1915","2435","1078","2128","2507"
"Fagan's","2301","2009","2485","0","2642","2741","826","2811","186","1925","1199","3269","1852","2722","2851","1053","760","913","1069","1052","1634","2821","734","482","752","793","1423","679","1373"
"Porter Brook","1949","2208","835","2642","0","3463","2678","312","2522","1204","1498","1260","1803","2498","2645","2523","1954","3325","3481","3464","2299","2561","2043","2242","1949","2598","1642","2076","2983"
"Walkley Cottage","1514","1346","3923","2741","3463","0","3479","3785","2838","2295","2797","4558","3902","4895","5042","3705","2932","2786","2684","2667","1239","4958","3011","2600","2610","3445","3473","2230","4026"
"Crucible Corner","3033","2741","2535","826","2688","3474","0","2857","639","2620","1486","3319","1844","2529","2658","612","1000","890","1282","1115","2366","2629","973","1010","1174","80","1457","1411","648"
"Lescar Hotel","2270","2530","721","2811","312","3785","2847","0","2691","1526","1666","948","1689","2384","2531","2642","2123","3473","3646","3629","2621","2447","2211","2411","2118","2767","1628","2398","3057"
"The Grapes","2397","2105","2393","186","2522","2838","639","2691","0","2021","1051","3177","1744","2586","2715","865","658","814","1157","1061","1730","2685","632","380","620","605","1315","775","1186"
"The York","781","1079","1714","1925","1204","2295","2620","1526","2021","0","1388","2299","2580","3342","3489","2624","1788","2526","2682","2665","1170","3404","2012","1756","1592","2586","2151","1316","3057"
"The Hanover","2052","1760","1473","1199","1498","2797","1486","1666","1051","1388","0","2257","1209","2203","2350","1444","608","1801","1956","1939","1690","2265","706","751","428","1406","780","641","1877"
"Union Hotel","3044","3303","784","3269","1256","4558","3319","948","3177","2299","2257","0","1805","1802","1867","2876","2690","3867","4228","4114","3394","1535","2687","3078","2699","3219","1862","2912","3291"
"The Cremorne","3157","2865","1127","1852","1803","3902","1844","1689","1744","2580","1209","1805","0","993","1140","1401","1257","2434","2776","2681","2794","1056","1254","1645","1545","1743","504","1745","1715"
"The Sheaf View","4037","3858","1822","2722","2498","4895","2529","2384","2586","3342","2203","1802","993","0","144","1841","2143","3185","3583","3432","3788","332","2139","2530","2538","2429","1498","2739","2112"
"The Brothers Arms","4199","4020","1984","2851","2660","5057","2658","2546","2715","3504","2364","1867","1155","144","0","1970","2272","3314","3712","3561","3949","332","2268","2659","2700","2558","1660","2900","2240"
"Rutland Arms","3200","2908","2092","1053","2523","3705","612","2642","865","2624","1444","2876","1401","1843","1971","0","836","1451","1877","1682","2597","2025","810","1227","1312","600","1014","1612","479"
"The Washington","2364","2072","1906","760","1954","2932","949","2123","658","1788","608","2690","1257","2143","2272","836","0","1447","1714","1694","1825","2242","98","451","476","869","828","776","1269"
"The Shakespeare","2902","2610","3083","643","3309","2786","882","3478","817","2526","1801","3867","2434","3185","3314","1441","1427","0","403","308","2127","3285","1401","1091","1436","910","2005","1280","1379"
"The Fat Cat","2905","2613","3388","979","3422","2684","1212","3590","1153","2626","1885","4172","2776","3528","3657","1877","1670","396","0","95","2125","3627","1688","1305","1475","1240","2347","1365","1615"
"Kelham Island Tavern","2888","2596","3330","902","3405","2667","1117","3573","1061","2609","1868","4114","2681","3432","3561","1688","1687","308","95","0","2108","3532","1661","1288","1458","1145","2252","1348","1609"
"Closed Shop","845","553","2696","1634","2299","1239","2371","2621","1730","1170","1690","3394","2794","3788","3935","2597","1825","2160","2149","2132","0","3850","1904","1492","1502","2337","2365","1123","2918"
"The White Lion","4100","3921","1885","2821","2561","4958","2629","2447","2685","3404","2265","1535","1056","332","332","2024","2242","3285","3627","3532","3850","0","2239","2630","2601","2529","1560","2801","2294"
"The Devonshire Cat","2440","2148","1903","734","2069","3008","923","2238","632","1886","706","2687","1254","2139","2268","810","98","1421","1688","1668","1900","2239","0","458","552","843","825","851","1242"
"The Red Deer","2187","1895","2294","482","2263","2600","1010","2432","380","1756","751","3078","1645","2530","2659","1227","451","1149","1305","1288","1492","2630","458","0","321","977","1216","538","1557"
"The Bath Hotel","2023","1731","1915","767","1949","2610","1174","2118","620","1592","428","2699","1545","2538","2685","1312","476","1436","1592","1575","1502","2601","555","321","0","1071","1116","435","1745"
"Brown Bear","2959","2667","2435","793","2607","3440","80","2776","605","2528","1406","3219","1743","2429","2558","600","919","918","1310","1143","2332","2529","893","977","1071","0","1357","1377","636"
"The Beer Engine","2728","2436","1078","1423","1642","3473","1457","1628","1315","2151","780","1862","504","1498","1645","1014","828","2005","2347","2252","2365","1560","825","1216","1116","1357","0","1316","1429"
"The University Arms","1691","1399","2128","679","2076","2230","1462","2330","775","1316","641","2912","1745","2739","2886","1612","776","1280","1436","1419","1123","2801","855","538","435","1428","1316","0","2044"
"Sheffield Tap","3517","3225","2507","1373","2983","4020","648","3057","1186","3057","1877","3291","1715","2112","2240","479","1269","1379","1615","1611","2913","2294","1242","1557","1629","636","1429","1958","0"
